episode_id,ticker,side,entry_time_utc,entry_direction,peak_direction,entry_price,target_price,stop_price,entry_score,atr,vix_level,n_log_rows,signal_last_seen_utc,status,outcome,exit_date,bars_held,days_held,pnl_r,mfe_pct_of_target,resolved_at_utc
BTC_20260725T161159,BTC,short,2026-07-25T16:11:59.417785,SELL,SELL,64160.13,62803.09,64838.65,35.25,452.35,18.700000762939453,2,2026-07-25T20:15:36.424366,closed,target,2026-08-01T16:00:00,4,0.67,2.0,139.7,2026-08-22T16:01:31.309904+00:00
BTC_20260727T120124,BTC,long,2026-07-27T12:01:24.995153,BUY,BUY,65128.47,66339.1,64523.15,61.28,403.54,17.719999313354492,27,2026-07-28T00:01:22.859147,closed,stop,2026-08-01T04:00:00,1,0.17,-1.0,0.0,2026-08-22T16:01:31.312633+00:00
BTC_20260731T080119,BTC,long,2026-07-31T08:01:19.233422,BUY,BUY,63892.14,65718.77,62978.83,61.31,608.88,16.850000381469727,14,2026-07-31T14:01:28.360351,closed,stop,2026-08-01T16:00:00,4,0.67,-1.0,0.0,2026-08-22T16:01:31.313869+00:00
BTC_20260801T000232,BTC,short,2026-08-01T00:02:32.408265,SELL,SELL,62900.28,61114.95,63792.94,35.66,595.11,15.989999771118164,60,2026-08-02T03:01:24.244871,closed,stop,2026-08-03T12:00:00,15,2.5,-1.0,35.7,2026-08-22T16:01:31.315252+00:00
BTC_20260802T054159,BTC,short,2026-08-02T05:41:59.447059,SELL,SELL,63436.02,61903.83,64202.11,28.0,510.73,15.989999771118164,1,2026-08-02T05:41:59.447059,closed,stop,2026-08-04T04:00:00,12,2.0,-1.0,73.5,2026-08-22T16:01:31.316842+00:00
BTC_20260802T083105,BTC,short,2026-08-02T08:31:05.443537,SELL,SELL,63392.95,61940.1,64119.37,29.35,484.28,15.989999771118164,25,2026-08-02T19:31:05.397878,closed,stop,2026-08-04T04:00:00,11,1.83,-1.0,74.6,2026-08-22T16:01:31.318457+00:00
BTC_20260802T203108,BTC,short,2026-08-02T20:31:08.503908,SELL,SELL,63405.37,62010.09,64103.01,39.23,465.09,15.989999771118164,1,2026-08-02T20:31:08.503908,closed,stop,2026-08-04T04:00:00,8,1.33,-1.0,78.6,2026-08-22T16:01:31.319975+00:00
BTC_20260802T230122,BTC,short,2026-08-02T23:01:22.927697,SELL,SELL,63394.72,61926.28,64128.94,39.23,489.48,15.989999771118164,1,2026-08-02T23:01:22.927697,closed,stop,2026-08-04T04:00:00,8,1.33,-1.0,73.9,2026-08-22T16:01:31.321459+00:00
BTC_20260803T040121,BTC,long,2026-08-03T04:01:21.988009,BUY,BUY,62867.92,64308.53,62147.62,62.18,480.2,15.989999771118164,33,2026-08-03T19:01:30.785934,closed,target,2026-08-04T16:00:00,9,1.5,2.0,106.6,2026-08-22T16:01:31.322869+00:00
BTC_20260806T193117,BTC,long,2026-08-06T19:31:17.547298,BUY,STRONG_BUY,64398.49,66010.25,63592.61,62.99,537.25,15.170000076293944,274,2026-08-10T23:31:13.099435,closed,stop,2026-08-11T12:00:00,29,4.83,-1.0,65.8,2026-08-22T16:01:31.324342+00:00
BTC_20260811T185211,BTC,short,2026-08-11T18:52:11.979053,SELL,SELL,63359.09,62075.86,64000.7,39.08,427.74,15.359999656677246,2,2026-08-11T19:01:30.776189,closed,stop,2026-08-12T08:00:00,4,0.67,-1.0,0.0,2026-08-22T16:01:31.326378+00:00
BTC_20260812T150142,BTC,short,2026-08-12T15:01:42.934754,SELL,SELL,63338.61,61971.59,64022.12,32.19,455.67,14.81999969482422,1,2026-08-12T15:01:42.934754,closed,stop,2026-08-17T12:00:00,30,5.0,-1.0,58.3,2026-08-22T16:01:31.327666+00:00
BTC_20260812T190129,BTC,short,2026-08-12T19:01:29.710561,SELL,SELL,63397.84,62087.74,64052.89,31.94,436.7,14.520000457763672,2,2026-08-12T19:31:21.315566,closed,stop,2026-08-17T12:00:00,29,4.83,-1.0,65.4,2026-08-22T16:01:31.329694+00:00
BTC_20260813T023118,BTC,short,2026-08-13T02:31:18.548497,SELL,SELL,63467.55,62214.12,64094.27,38.23,417.81,14.550000190734863,1,2026-08-13T02:31:18.548497,closed,stop,2026-08-17T12:00:00,27,4.5,-1.0,73.9,2026-08-22T16:01:31.331677+00:00
BTC_20260814T000128,BTC,long,2026-08-14T00:01:28.912871,BUY,BUY,63490.55,64717.91,62876.87,60.5,409.12,14.630000114440918,1,2026-08-14T00:01:28.912871,closed,stop,2026-08-14T08:00:00,2,0.33,-1.0,0.0,2026-08-22T16:01:31.333592+00:00
BTC_20260814T010124,BTC,long,2026-08-14T01:01:24.680766,BUY,BUY,63529.4,64785.8,62901.2,60.43,418.8,14.630000114440918,7,2026-08-14T03:31:19.598947,closed,stop,2026-08-14T08:00:00,2,0.33,-1.0,0.0,2026-08-22T16:01:31.334780+00:00
BTC_20260815T160129,BTC,long,2026-08-15T16:01:29.094932,BUY,BUY,63102.0,64074.74,62615.63,60.52,324.25,14.25,141,2026-08-17T15:19:04.872616,closed,target,2026-08-17T12:00:00,11,1.83,2.0,115.7,2026-08-22T16:01:31.336010+00:00
BTC_20260818T040133,BTC,short,2026-08-18T04:01:33.448633,SELL,SELL,64168.43,63113.53,64695.88,35.82,351.63,14.25,3,2026-08-18T04:31:17.922760,closed,stop,2026-08-18T12:00:00,2,0.33,-1.0,10.4,2026-08-22T16:01:31.337506+00:00
ETH_20260723T161955,ETH,long,2026-07-23T16:19:55.158620,BUY,BUY,1885.14,1954.27,1850.58,60.11,23.04,19.489999771118164,2,2026-07-23T16:30:03.499360,closed,stop,2026-08-01T16:00:00,4,0.67,-1.0,0.0,2026-08-22T16:01:31.433296+00:00
